trojan,vmess,shadowsocks
89573.0,85869.0,173897.0
89878.0,85838.0,124353.0
88914.0,85777.0,87893.0
90095.0,85636.0,86160.0
89357.0,85512.0,148447.0
89289.0,85550.0,125188.0
89683.0,85610.0,86899.0
90451.0,85445.0,124758.0
89286.0,85635.0,86721.0
89155.0,87209.0,149262.0
89360.0,85389.0,136583.0
89351.0,85596.0,87187.0
89019.0,85364.0,87111.0
89199.0,215283.0,87128.0
88963.0,85732.0,136758.0
89320.0,85766.0,86343.0
89322.0,85645.0,155628.0
89826.0,85309.0,87247.0
89817.0,85843.0,87450.0
212676.0,85824.0,99421.0
189614.0,85022.0,86594.0
89559.0,85977.0,86796.0
89116.0,85012.0,86886.0
89040.0,85765.0,86425.0
89044.0,86032.0,86914.0
89138.0,86083.0,130899.0
89230.0,85594.0,173795.0
89371.0,85411.0,86966.0
89882.0,85471.0,86716.0
89708.0,85706.0,86591.0
89026.0,85310.0,136783.0
200661.0,85603.0,87151.0
88974.0,85520.0,87179.0
89149.0,85370.0,759.0
90137.0,85459.0,17783.0
151729.0,85562.0,951.0
89146.0,85442.0,4651.0
89299.0,85663.0,219866.0
88927.0,85483.0,87009.0
89214.0,85876.0,87690.0
89386.0,85416.0,87635.0
88878.0,85367.0,87806.0
89094.0,85925.0,86954.0
89096.0,85448.0,87403.0
89145.0,85619.0,87673.0
89885.0,85721.0,87702.0
89135.0,85794.0,87336.0
214371.0,85621.0,87418.0
88927.0,85431.0,88399.0
89317.0,86057.0,87960.0
213101.0,85635.0,87219.0
88904.0,85566.0,86951.0
90322.0,85641.0,87399.0
212662.0,85743.0,87713.0
89234.0,85757.0,87594.0
88749.0,85682.0,87940.0
89126.0,85823.0,86914.0
94664.0,85809.0,87255.0
89270.0,85393.0,87308.0
88960.0,85910.0,87238.0
89011.0,85363.0,87766.0
90520.0,85442.0,87750.0
89263.0,215201.0,87756.0
89389.0,85467.0,87401.0
225067.0,85488.0,87384.0
89608.0,85702.0,87531.0
89253.0,85635.0,87349.0
88611.0,85503.0,86943.0
89360.0,85368.0,87444.0
89200.0,85346.0,86945.0
89572.0,86577.0,87738.0
89284.0,85734.0,87341.0
88768.0,85440.0,87210.0
89405.0,85635.0,87846.0
89524.0,79604.0,87760.0
89032.0,85395.0,87468.0
88985.0,85592.0,87534.0
218636.0,73395.0,87551.0
89051.0,73666.0,88076.0
89662.0,73153.0,87290.0
4781.0,85236.0,87413.0
85030.0,85439.0,87075.0
4721.0,73585.0,87512.0
4741.0,73137.0,87531.0
4781.0,73626.0,87644.0
4721.0,85320.0,87075.0
4781.0,85581.0,87602.0
4721.0,73543.0,87181.0
4721.0,72912.0,88534.0
4781.0,73455.0,87362.0
4749.0,85487.0,87261.0
4721.0,73358.0,87664.0
4781.0,73093.0,87470.0
4717.0,73241.0,87279.0
89243.0,73058.0,87273.0
88993.0,73355.0,87669.0
89609.0,85474.0,88065.0
89477.0,85740.0,87710.0
89057.0,85530.0,87188.0
89110.0,73110.0,87237.0
89112.0,85288.0,86754.0
88908.0,85767.0,88146.0
89492.0,73287.0,87211.0
90368.0,73368.0,86749.0
88982.0,73070.0,87890.0
89610.0,85464.0,87829.0
89427.0,85407.0,86943.0
89255.0,85687.0,87009.0
156824.0,85584.0,87566.0
89370.0,73636.0,87537.0
89510.0,85847.0,87047.0
89493.0,85761.0,89103.0
89274.0,85670.0,87350.0
89278.0,85598.0,87951.0
89131.0,73122.0,87562.0
89095.0,73433.0,87657.0
92097.0,73394.0,87037.0
101937.0,214096.0,87174.0
89346.0,110807.0,87451.0
88802.0,79629.0,87402.0
120129.0,85520.0,87593.0
88983.0,73393.0,87472.0
89354.0,85708.0,86919.0
101321.0,73231.0,87359.0
157951.0,85611.0,87350.0
89051.0,85823.0,87475.0
89482.0,73676.0,87768.0
89690.0,73229.0,87553.0
91390.0,85653.0,87384.0
89403.0,73100.0,87173.0
89018.0,73431.0,87801.0
89473.0,73443.0,87630.0
89508.0,72957.0,87174.0
89479.0,85535.0,86939.0
89260.0,85323.0,87384.0
89386.0,85890.0,87621.0
89252.0,73231.0,87283.0
91735.0,85673.0,87366.0
89565.0,85412.0,87203.0
89571.0,73357.0,86848.0
89068.0,73366.0,86718.0
89241.0,73302.0,87550.0
89004.0,85243.0,87439.0
89259.0,85497.0,88267.0
88995.0,85470.0,87178.0
88972.0,73128.0,86747.0
89589.0,73295.0,86680.0
88858.0,73176.0,87893.0
89060.0,73678.0,87288.0
89386.0,85699.0,87271.0
88882.0,73701.0,87303.0
88876.0,85685.0,88370.0
88837.0,73034.0,87180.0
